sep=,
5087,NL 758250872,25-07-2025,03:39:39,!,3460,-,-,9600
5087,NL 758250872,24-07-2025,16:32:12,OK,5160,-,-,9600
5087,NL 758250872,24-07-2025,05:05:51,!,8200,0,40,9600
5087,NL 758250872,22-07-2025,10:56:51,OK,4840,-,-,9600
5087,NL 758250872,22-07-2025,00:00:51,OK,5430,-,-,9600
5087,NL 758250872,21-07-2025,11:51:46,OK,6390,-,-,9600
5087,NL 758250872,20-07-2025,20:41:10,OK,4520,-,-,9600
5087,NL 758250872,20-07-2025,08:57:21,OK,10510,-,-,9600
5087,NL 758250872,19-07-2025,09:27:06,OK,10030,-,-,9600
5087,NL 758250872,18-07-2025,12:59:25,OK,7330,-,-,9600
5087,NL 758250872,17-07-2025,20:12:59,OK,7360,-,-,9600
5087,NL 758250872,17-07-2025,04:45:12,OK,5000,-,-,9600
5087,NL 758250872,16-07-2025,17:17:47,OK,5760,-,-,9600
5087,NL 758250872,16-07-2025,05:03:51,OK,8580,-,-,9600
5087,NL 758250872,15-07-2025,11:00:47,OK,6860,-,-,9600
5087,NL 758250872,14-07-2025,20:14:57,OK,6310,-,-,9600
5087,NL 758250872,14-07-2025,06:14:07,OK,6630,-,-,9600
5087,NL 758250872,13-07-2025,14:30:26,OK,11500,-,-,9600
5087,NL 758250872,12-07-2025,09:42:31,OK,12110,-,-,9600
5087,NL 758250872,11-07-2025,09:43:25,OK,10810,-,-,9600
5087,NL 758250872,10-07-2025,13:08:47,OK,9140,-,-,9600
5087,NL 758250872,09-07-2025,19:14:11,OK,4880,-,-,9600
5087,NL 758250872,09-07-2025,08:35:29,OK,13250,-,-,9600
5087,NL 758250872,08-07-2025,06:29:10,OK,11760,-,-,9600
5087,NL 758250872,07-07-2025,07:07:59,!,8520,-,-,9600
5087,NL 758250872,06-07-2025,13:22:45,OK,12570,-,-,9600
5087,NL 758250872,05-07-2025,14:08:52,OK,14630,-,-,9600
5087,NL 758250872,04-07-2025,14:10:59,!,4760,-,-,9600
5087,NL 758250872,04-07-2025,05:29:21,!,4690,-,-,9600
