4,nl731053160,12-6-2024,10:29:21,OK,10200,-,-,42400
4,nl731053160,12-6-2024,20:32:20,OK,14300,-,-,42400
4,nl731053160,13-6-2024,10:21:16,OK,13500,-,-,42400
4,nl731053160,13-6-2024,21:23:40,OK,13600,-,-,42400
4,nl731053160,14-6-2024,10:20:32,OK,6300,-,-,42400
4,nl731053160,14-6-2024,19:42:16,OK,15900,-,-,42400
4,nl731053160,15-6-2024,06:47:09,OK,12800,-,-,42400
4,nl731053160,15-6-2024,17:59:24,OK,16000,-,-,42400
4,nl731053160,15-6-2024,20:57:03,OK,3700,-,-,42400
4,nl731053160,16-6-2024,09:26:31,OK,16300,-,-,42400
4,nl731053160,16-6-2024,15:30:28,OK,7100,-,-,42400
4,nl731053160,16-6-2024,20:58:23,OK,7600,-,-,42400
4,nl731053160,17-6-2024,03:29:57,OK,9200,-,-,42400
4,nl731053160,17-6-2024,09:36:31,OK,8000,-,-,42400
4,nl731053160,17-6-2024,16:09:37,OK,8200,-,-,42400
4,nl731053160,18-6-2024,00:24:29,OK,13000,-,-,42400
4,nl731053160,18-6-2024,08:27:16,OK,11000,-,-,42400
4,nl731053160,18-6-2024,15:44:45,OK,11400,-,-,42400
4,nl731053160,18-6-2024,22:55:07,OK,11100,-,-,42400
4,nl731053160,19-6-2024,05:29:54,OK,10200,-,-,42400
4,nl731053160,19-6-2024,13:31:11,OK,11300,-,-,42400
4,nl731053160,19-6-2024,21:34:05,OK,12700,-,-,42400
4,nl731053160,20-6-2024,05:50:53,OK,11900,-,-,42400
4,nl731053160,20-6-2024,15:01:19,OK,13500,-,-,42400
4,nl731053160,20-6-2024,22:06:27,OK,11700,-,-,42400
4,nl731053160,21-6-2024,05:14:44,OK,11600,-,-,42400
4,nl731053160,21-6-2024,14:59:42,OK,16100,-,-,42400
4,nl731053160,21-6-2024,22:39:44,OK,12200,-,-,42400
4,nl731053160,22-6-2024,07:09:00,OK,13500,-,-,42400
4,nl731053160,22-6-2024,15:57:49,OK,13400,-,-,42400
4,nl731053160,22-6-2024,22:39:39,OK,10800,-,-,42400
4,nl731053160,23-6-2024,06:57:11,OK,12900,-,-,42400
4,nl731053160,23-6-2024,14:41:49,OK,12400,-,-,42400
4,nl731053160,23-6-2024,21:18:42,OK,10700,-,-,42400
4,nl731053160,24-6-2024,07:04:07,OK,16400,-,-,42400
4,nl731053160,24-6-2024,13:46:00,OK,11900,1,7,42400
4,nl731053160,24-6-2024,21:08:59,OK,13900,-,-,42400
4,nl731053160,25-6-2024,03:37:23,OK,9800,-,-,42400
4,nl731053160,25-6-2024,11:10:21,OK,13600,-,-,42400
4,nl731053160,25-6-2024,17:48:15,OK,11300,-,-,42400
4,nl731053160,26-6-2024,00:27:12,OK,12600,-,-,42400
4,nl731053160,26-6-2024,08:36:54,OK,13700,-,-,42400
8,|NL598253666,29-5-2024,00:18:00,OK,13200,-,-,39400
8,|NL598253666,29-5-2024,08:24:59,OK,13900,-,-,39400
